sentiment_average,sentiment_count,date
0.1871338572636882,27,2023-05-10
0.1465883898487585,31,2023-05-02
0.3714285714285715,1,2023-05-03
0.12211972055722056,26,2023-01-18
0.20343180482069373,27,2023-01-19
0.19774350649350653,10,2022-09-17
0.08429942279942279,15,2022-09-16
0.032736042692939255,29,2023-01-23
0.44999999999999996,3,2023-01-24
0.23333333333333336,12,2022-12-08
0.38,2,2022-12-09
0.007304067460317449,24,2022-11-28
-0.2878306878306878,3,2022-11-29
0.06565767565767568,13,2023-04-10
0.2485760073260073,13,2023-03-05
0.08116883116883117,11,2022-09-27
0.011024080086580092,8,2022-09-14
0.042423118980212414,17,2023-02-24
-0.015658533385806105,11,2023-02-03
0.1899,5,2022-09-23
0.4367857142857143,5,2022-09-24
0.2762400793650794,6,2023-03-21
0.2902777777777778,6,2023-03-22
-0.07286969696969697,10,2022-06-26
0.23563034188034196,13,2023-01-10
0.09761904761904762,7,2022-12-07
0.09887254901960785,17,2023-01-17
0.2374904761904762,25,2023-02-14
0.21428571428571427,1,2023-02-15
0.10668831168831168,11,2022-10-09
0.2883333333333334,14,2023-01-26
0.09243589743589743,13,2023-01-27
0.033138528138528134,11,2023-02-21
0.012390228818800262,35,2022-12-13
0.1847773654916512,14,2022-11-26
0.28746993746993743,9,2022-12-02
0.08119212962962966,8,2023-03-15
0.09817927170868347,17,2022-12-03
0.11088627281809099,13,2022-10-03
-0.1634920634920635,14,2022-10-04
0.057522381037174934,16,2023-04-27
0.04536939726939727,13,2023-04-28
0.1713101343101343,13,2023-05-08
0.12578307562657157,15,2023-03-29
0.35395238095238096,10,2023-03-30
0.22968750000000002,12,2022-12-31
0.10301339285714285,1,2023-01-02
0.22924182299182297,30,2022-11-10
-0.0846726190476191,8,2023-02-25
0.025833333333333326,4,2023-02-26
0.05158730158730161,18,2022-10-11
-0.003928571428571448,10,2023-03-31
-0.2506324404761904,8,2022-09-30
-0.056915266106442576,17,2023-05-22
0.1546300408475733,37,2023-05-23
0.08182744107744108,10,2022-07-04
-0.0411458333333333,8,2022-09-01
-0.07174537969457753,17,2023-04-12
0.01807215007215007,15,2022-06-10
0.20166666666666666,9,2023-04-17
-0.07407407407407407,4,2022-12-05
0.3341540404040404,6,2022-12-06
0.20690476190476192,14,2023-01-06
0.08325757575757577,10,2023-01-07
0.10537474498681394,12,2023-05-09
0.19090909090909092,11,2022-12-21
0.09999999999999998,2,2022-12-22
0.38030303030303025,10,2022-11-01
0.2375,2,2022-11-02
0.2570793249959917,9,2022-12-23
0.049024470899470894,26,2023-05-24
0.03245741592891851,13,2023-04-29
0.0023438466295609204,21,2022-10-13
-0.07752705627705628,10,2023-04-23
0.044310893355011,17,2022-11-23
0.1291554279054279,13,2022-11-24
-0.31325757575757573,11,2022-09-21
0.10411991456738945,8,2023-02-16
0.1698809523809524,8,2023-02-17
0.3247023809523809,9,2022-07-30
0.03,1,2022-07-29
0.10639393939393935,10,2022-12-15
0.17447916666666669,8,2023-02-01
0.15451007326007324,13,2022-10-24
0.06187500000000001,10,2022-09-25
0.125,1,2022-09-26
0.15499007936507936,6,2023-03-16
0.11689195185075867,30,2023-03-17
-0.018214285714285704,5,2022-11-25
0.03136160714285714,8,2022-06-09
0.27690476190476193,10,2023-03-03
0.3375,2,2023-03-04
0.16869658119658124,13,2022-07-26
0.10955336330336331,13,2022-11-13
0.3,1,2022-11-14
0.2485218253968254,10,2022-07-19
0.1069988952020202,12,2023-05-16
-0.046222390765563455,18,2023-05-17
0.1755974927849928,16,2023-04-16
0.005033549783549774,15,2022-06-21
0.022569444444444448,8,2023-04-13
0.2857142857142857,1,2022-12-04
-0.040437676427575425,11,2023-05-18
-0.06300595238095238,10,2022-06-23
0.03611111111111113,3,2022-06-24
0.17432659932659933,18,2022-11-22
0.047857720057720085,25,2022-11-09
-0.22315476190476194,7,2022-06-04
-0.4,1,2022-06-06
-0.2,1,2022-06-05
-0.07046957671957672,12,2022-11-08
0.06965006766525494,23,2023-05-05
0.14506222943722943,11,2023-05-06
0.45,2,2022-10-12
0.024665392997025647,10,2023-05-30
0.11527777777777777,3,2023-05-31
0.010000000000000004,5,2023-03-01
0.10892857142857142,7,2023-03-02
0.1260185185185185,9,2022-12-18
0.2623489071903705,15,2023-05-20
0.2668831168831169,3,2023-05-21
0.04126984126984125,6,2023-03-23
0.5096487554112554,4,2023-04-14
0.4750054112554113,7,2023-04-15
0.0944839015151515,8,2023-03-08
-0.025,1,2023-03-09
0.018746323529411767,5,2023-01-11
0.11274386724386724,10,2023-01-12
-0.19987545787545785,10,2023-04-04
0.575,2,2023-04-05
0.23732999790065007,13,2023-05-28
-0.30000000000000004,1,2023-05-29
0.06988155082197137,10,2023-03-06
0.014816017316017326,7,2023-03-07
0.09613182920474589,18,2023-05-19
0.1638888888888889,3,2022-09-20
0.15000000000000002,8,2022-10-23
0.14578018707482993,14,2022-06-12
0.05231481481481484,9,2022-10-15
0.2437516200363423,6,2023-03-18
0.6000000000000001,1,2023-03-19
-0.06965763129414444,4,2023-04-20
0.18125,2,2023-04-21
-0.05,1,2023-04-22
0.3171768707482993,7,2022-12-19
0.5916666666666667,6,2022-12-20
0.2416666666666667,7,2022-09-06
0.0333333333333333,2,2022-09-07
0.12477675565175565,12,2023-02-07
0.22353936903044044,14,2023-02-08
0.1378664799253035,17,2023-03-10
-0.08507495590828924,12,2022-06-28
0.14977196779828358,19,2023-03-11
-0.0831168831168831,5,2023-03-12
-0.13614046210200056,13,2023-01-20
-0.5,1,2023-01-21
-0.06950757575757577,11,2023-01-09
0.006666666666666665,5,2023-03-28
0.18517379679144386,17,2022-07-12
0.2115126129015018,9,2023-05-01
0.07574995300973691,8,2023-05-25
0.06400134570212418,11,2023-05-12
0.024258432539682535,8,2023-05-13
0.05,1,2023-05-14
0.10496707224885594,13,2023-05-11
0.09305555555555556,6,2023-01-25
-0.05799107142857141,4,2023-05-26
0.042132512579289925,8,2023-05-04
-0.0022869077562753474,11,2023-02-13
0.0889379471103609,5,2023-02-23
0.2492636500823121,16,2023-01-14
0.07188570977633478,12,2023-04-25
0.00885416666666669,2,2023-04-26
