normalized_text,date
"['fuck', 'tsla']",2023-03-10
[],2023-03-10
"['User', 'total', 'see', 'year', 'ago', 'total', 'Best', 'Account']",2023-03-10
"['like', 'yell', 'street', 'homeless', 'person']",2023-03-10
"['nice', 'retirement', 'get']",2023-03-10
"['truly', 'regard']",2023-03-10
"['User', 'regard']",2023-03-10
"['Lmao', 'buy', 'call', 'alrdy', 'run', 'Jan', 'low', 'damn', 'regard', 'af']",2023-03-10
"['buy', 'put']",2023-03-10
"['lol', 'fucking', 'will', 'save', 'ready', 'penetrate', 'day', 'day', 'inch', 'inch', 'expiry']",2023-03-10
"['highly', 'regard', 'February', 'Tesla', 'fuck', 'think']",2023-03-10
"['hear', 'stop', 'loss']",2023-03-10
[],2023-03-10
"['look', 'rich', 'asshole']",2023-03-10
"['love', 'guy', 'reply', 'yep', 'fuck', 'u', 'truly', 'hero', 'man']",2023-03-10
"['long', 'story', 'short']",2023-03-10
"['Absolute', 'WSB', 'mentality', 'Buy', 'call', 'stock', 'gain']",2023-03-10
"['fuck', 'think', 'good', 'investment', 'give', 'money', 'blender', 'light', 'fire', 'entertaining']",2023-03-10
"['gay', 'bear', 'rise']",2023-03-10
"['late', 'chart', 'obviously', 'red', 'go', 'lose', 'suppose']",2023-03-10
"['Elon', 'fuck']",2023-03-10
"['obviously', 'legal', 'guardian', 'handle', 'step']",2023-03-10
"['tsla', 'PUTS']",2023-05-18
[],2023-05-18
"['User', 'total', 'see', 'year', 'ago', 'total', 'Best', 'Account']",2023-05-18
"['Wtf', 'today', 'take', 'initial', 'position']",2023-05-18
"['absolutely', 'yes', 'add', 'Tesla', 'Tesla', 'moment', 'say', 'FUCK']",2023-05-18
"['Kiss', 'death']",2023-05-18
"['August', 'TSLA', 'boy', 'em', 'cheap']",2023-05-18
"['damn', 'Cramer', 'start', 'make', 'money']",2023-05-18
['fucked'],2023-05-18
"['thank', 'god', 'buy', 'CSP', 'today']",2023-05-18
"['oh', 'goodness']",2023-05-18
"['holy', 'shit', 'Michael', 'Burry', 'buy', 'put', 'time', 'ago']",2023-05-18
"['Telsa', 'sell']",2023-05-18
['fella'],2023-05-18
"['careful', 'man', 'broken', 'clock', 'accurate', 'twice', 'day', 'forget']",2023-05-18
"['like', 'people', 'take', 'risk', 'nasdaq', 'finish', 'rise', 'wedge']",2023-05-18
"['actually', 'agree']",2023-05-18
"['Elon', 'need', 'liquidity', 'sell', 'guess']",2023-05-18
"['Elon', 'got', 'call', 'testify', 'epstine', 'case', 'yes', 'put']",2023-05-18
"['literally', 'buy', 'weekly']",2023-05-18
"['tsla', 'buy', 'care', 'Cramer', 'say']",2023-05-18
"['self', 'drive', 'lawsuit', 'unintended', 'death']",2023-05-18
